facility,안전원고시 제2020-7호[고시],안전원고시 제2020-6호[고시],안전원고시 제2020-9호[고시],안전원고시 제2020-8호[고시],안전원고시 제2020-5호[고시],안전원고시 제2020-10호[고시],안전원고시 제2019-11호[고시],안전원고시 제2020-11호[고시],안전원고시 제2020-12호[고시],안전원고시 제2021-2호[고시],안전원고시 제2021-3호[고시],안전원고시 제2022-2호[고시],안전원고시 제2021-5호[고시],안전원고시 제2021-1호[고시],안전원고시 제2021-7호[규정],안전원고시 제2021-2호[규정],안전원고시 제2021-3호[규정],안전원고시 제2021-8호[규정],안전원고시 제2021-9호[규정],장외영향평가서 작성 등에 관한 규정,위해관리계획서 작성 등에 관한 규정
파레트,2,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
파렛트,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파이프,0,0,0,2,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
팔레트,9,2,3,0,6,0,0,0,0,0,0,0,3,8,0,0,0,0,0,2,0
펌프실,0,7,0,6,4,0,0,0,1,0,0,0,2,7,1,0,0,0,0,0,0
펜스,6,1,3,1,7,0,0,0,0,0,0,0,4,6,0,0,0,0,0,1,0
플랜트,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
피뢰,9,13,3,3,17,0,0,1,1,0,0,0,4,14,0,0,0,0,0,3,0
피뢰설비,1,1,1,1,6,0,0,0,1,0,0,0,1,7,0,0,0,0,0,2,0
피뢰침,5,8,2,1,11,0,0,1,0,0,0,0,3,9,0,0,0,0,0,3,0
피복,2,2,1,5,13,0,0,1,1,0,0,0,1,6,1,0,0,1,0,1,0
피스톤,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
하천,0,0,0,2,3,0,0,0,11,0,0,0,0,5,0,0,0,1,0,0,0
항공기,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
호스,0,4,1,6,22,0,0,3,0,0,0,0,6,13,1,0,0,1,0,0,1
화구,19,17,3,10,72,1,0,0,0,0,0,0,22,53,0,0,1,0,0,12,3
화물자동차,0,0,0,0,1,0,5,8,0,0,0,0,1,2,0,0,0,0,0,0,0
화장실,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0
환기휀,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
후드,9,8,0,1,29,0,0,1,0,0,0,0,6,13,0,0,0,0,0,0,1
휀스,2,1,1,2,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0
휴대폰,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
