substance,안전원고시 제2020-7호[고시],안전원고시 제2020-6호[고시],안전원고시 제2020-9호[고시],안전원고시 제2020-8호[고시],안전원고시 제2020-5호[고시],안전원고시 제2020-10호[고시],안전원고시 제2019-11호[고시],안전원고시 제2020-11호[고시],안전원고시 제2020-12호[고시],안전원고시 제2021-2호[고시],안전원고시 제2021-3호[고시],안전원고시 제2022-2호[고시],안전원고시 제2021-5호[고시],안전원고시 제2021-1호[고시],안전원고시 제2021-7호[규정],안전원고시 제2021-2호[규정],안전원고시 제2021-3호[규정],안전원고시 제2021-8호[규정],안전원고시 제2021-9호[규정],장외영향평가서 작성 등에 관한 규정,위해관리계획서 작성 등에 관한 규정
포름알데히드,1,0,0,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0
포스겐,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
포스핀,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
폴리,1,1,0,2,8,0,1,0,0,0,0,0,1,10,0,0,0,0,0,2,0
폴리에틸렌,0,0,0,2,2,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0
폴리염화비닐,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
폴리올,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
폴리우레탄,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
폴리프로필렌,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
폼알데하이드,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
프로판,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
프로필렌,0,0,0,0,1,0,1,0,0,0,0,0,2,5,0,0,0,0,0,2,1
프탈레이트,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
플라스틱,1,0,2,4,3,1,2,1,0,0,0,0,4,19,0,0,1,0,0,4,0
플루오르,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
플루오르화수소,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
피크린산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
할로겐,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
함석,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
합성가스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
합성수지,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
핵연료,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
헥사메틸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
헥사민,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
헥산,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
헬륨,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
혼합물,3,1,1,2,16,0,1,1,0,0,0,0,4,12,6,0,1,5,0,6,8
화산재,2,21,1,19,38,0,0,0,0,0,0,0,1,15,0,0,0,0,0,1,0
화약류,1,1,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
화장품,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0
화합물,1,0,0,1,2,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0
환원제,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
황산,8,27,2,32,50,7,0,3,0,1,0,0,23,95,5,0,1,5,0,12,15
황산구리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
황산니켈,1,1,0,0,5,0,0,0,0,1,0,0,5,8,1,0,1,0,0,0,0
황산알루미늄,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
황화수소,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0
히드록시에톡시,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
